BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by Robert E. Hill, Inc.",Co-op for sale,220000,2,1.0,850.0,5620 Netherland Ave Apt 3G,"Bronx, NY 10471","5620 Netherland Ave Apt 3GBronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5620,"5620 Netherland Ave #3g, Bronx, NY 10471, USA",40.9049354,-73.9060897
Brokered by Brown Harris Stevens - 100 Seventh Avenue,Co-op for sale,185000,1,1.0,2184.207862,789 Macdonough St Apt 4G,"Brooklyn, NY 11233","789 Macdonough St Apt 4GBrooklyn, NY 11233",New York,Kings County,Brooklyn,Ocean Hill,789,"789 MacDonough St #4g, Brooklyn, NY 11233, USA",40.684563,-73.914482
Brokered by RE MAX 1st Choice,Condo for sale,609000,2,2.0,2184.207862,132-03 Sanford Ave Unit 3H,"Flushing, NY 11355","132-03 Sanford Ave Unit 3HFlushing, NY 11355",New York,Queens County,Queens,Flushing,132-03,"132-03 Sanford Ave #3b, Flushing, NY 11355, USA",40.7550154,-73.8329807
"Brokered by AMERIHOMES REALTY OF NY, INC.",Co-op for sale,250000,2,1.0,950.0,2525 W 2nd St Apt 2E,"Brooklyn, NY 11223","2525 W 2nd St Apt 2EBrooklyn, NY 11223",New York,Kings County,Brooklyn,Gravesend,2525,"2525 W 2nd St #2e, Brooklyn, NY 11223, USA",40.5875717,-73.9712821
"Brokered by Robert Defalco Realty, Inc.",Condo for sale,109500,3,1.0,550.0,1000 Clove Rd Apt 9F,"Staten Island, NY 10301","1000 Clove Rd Apt 9FStaten Island, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,1000,"1000 Clove Rd #9f, Staten Island, NY 10301, USA",40.6202645,-74.1099106
Brokered by Corcoran SoHo,Co-op for sale,299000,3,1.0,640.0,410 E 57th St Apt 8B,"New York, NY 10022","410 E 57th St Apt 8BNew York, NY 10022",New York,New York County,New York,Manhattan,410,"410 E 57th St #8b, New York, NY 10022, USA",40.7578323,-73.9624557
Brokered by Douglas Elliman - Port Washington,Co-op for sale,299000,2,1.0,2184.207862,193-15 37 Ave Unit 177,"Flushing, NY 11358","193-15 37 Ave Unit 177Flushing, NY 11358",New York,Queens County,Queens,Flushing,19315,"19315 37th Ave # 177, Flushing, NY 11358, USA",40.7626299,-73.78916
Brokered by New Heights Realty,Co-op for sale,279000,3,1.0,550.0,57 Park Terrace Ter W Unit 3F,"New York, NY 10034","57 Park Terrace Ter W Unit 3FNew York, NY 10034",New York,New York County,New York,Manhattan,57,"57 Park Terrace W #3f, New York, NY 10034, USA",40.8712698,-73.9178529
Brokered by COMPASS,Co-op for sale,17900000,6,4.0,2184.207862,41 Central Park W Unit 11A,"Manhattan, NY 10023","41 Central Park W Unit 11AManhattan, NY 10023",New York,New York County,New York,Manhattan,41,"41 Central Park W #11a, New York, NY 10023, USA",40.7713789,-73.9798579
Brokered by E Realty International Corp,Condo for sale,478900,1,1.0,554.0,65-18 Austin St Unit 2C,"Rego Park, NY 11374","65-18 Austin St Unit 2CRego Park, NY 11374",New York,Queens County,Queens,Rego Park,65-18,"65-18 Austin St #2c, Rego Park, NY 11374, USA",40.7259759,-73.8599803
"Brokered by Harlem Lofts Inc.- Harlem Lofts, Inc.",Co-op for sale,149000,1,1.0,375.0,219 W 144th St Apt 41,"New York, NY 10030","219 W 144th St Apt 41New York, NY 10030",New York,New York County,New York,Manhattan,219,"219 W 144th St Apt 41, New York, NY 10030, USA",40.8213094,-73.9399984
Brokered by Keller Williams NYC,Condo for sale,355000,1,1.0,514.0,961 Washington Ave Apt 1G,"Brooklyn, NY 11225","961 Washington Ave Apt 1GBrooklyn, NY 11225",New York,Kings County,Brooklyn,Crown Heights,961,"961 Washington Ave #1g, Brooklyn, NY 11225, USA",40.6660348,-73.9612418
Brokered by Corcoran Westside Columbus,Co-op for sale,260000,2,1.0,2184.207862,515 W 135th St Apt 4C,"New York, NY 10031","515 W 135th St Apt 4CNew York, NY 10031",New York,New York County,New York,Manhattan,515,"515 W 135th St #4c, New York, NY 10031, USA",40.8196151,-73.9532441
Brokered by East Coast Realty Partners,Co-op for sale,220000,1,1.0,2184.207862,6565 Wetherole St Apt 4O,"Rego Park, NY 11374","6565 Wetherole St Apt 4ORego Park, NY 11374",New York,Queens County,Queens,Rego Park,65-65,"65-65 Wetherole St #4o, Rego Park, NY 11374, USA",40.725937,-73.8572908
Brokered by Charles H. Greenthal Property,Co-op for sale,489000,2,2.0,1549.0,26910 Grand Central Pkwy Apt 27G,"Floral Park, NY 11005","26910 Grand Central Pkwy Apt 27GFloral Park, NY 11005",New York,Queens County,Queens,Glen Oaks,26910,"26910 Grand Central Pkwy #27g, Queens, NY 11005, USA",40.7577991,-73.7159564
Brokered by Elegran Real Estate And Development,Condo for sale,2245000,2,3.0,1724.0,171 E 84th St Apt 3B,"New York, NY 10028","171 E 84th St Apt 3BNew York, NY 10028",New York,New York County,New York,Manhattan,171,"171 E 84th St #3b, New York, NY 10028, USA",40.7779756,-73.9551546
Brokered by RE MAX Voyage,Co-op for sale,315000,1,1.0,850.0,35-31 85th St Unit 2M,"Jackson Heights, NY 11372","35-31 85th St Unit 2MJackson Heights, NY 11372",New York,Queens County,Queens,Jackson Heights,3531,"3531 85th St Apt 2m, Jackson Heights, NY 11372, USA",40.7520799,-73.88188
NoBroker,Co-op for sale,115000,3,1.0,2184.207862,87-15 165th St Unit 6C,"Jamaica, NY 11432","87-15 165th St Unit 6CJamaica, NY 11432",New York,Queens County,Queens,Jamaica,87-15,"87-15 165th St #6c, Jamaica, NY 11432, USA",40.7104509,-73.7982064
Brokered by Corcoran Park Slope,Condo for sale,699000,2,2.0,1766.0,124-11 Rockaway Beach Blvd # 1C,"Queens, NY 11694","124-11 Rockaway Beach Blvd # 1CQueens, NY 11694",New York,Queens County,Queens,Rockaway Park,124- 15,"124- 15 Rockaway Beach Blvd #1B, Rockaway Park, NY 11694, USA",40.5771307,-73.8443159
Brokered by Lopez Realty Team Inc,Co-op for sale,119000,1,1.0,650.0,754 Brady Ave Apt 205,"Bronx, NY 10462","754 Brady Ave Apt 205Bronx, NY 10462",New York,Bronx County,The Bronx,East Bronx,754,"754 Brady Ave Apt 205, Bronx, NY 10462, USA",40.8522378,-73.8655788
Brokered by Keystone Realty USA Corp,Condo for sale,410000,2,2.0,2184.207862,151-35 84th St Unit 3M,"Howard Beach, NY 11414","151-35 84th St Unit 3MHoward Beach, NY 11414",New York,Queens County,Queens,Howard Beach,151-35,"151-35 84th St #3m, Howard Beach, NY 11414, USA",40.6668174,-73.8499468
Brokered by Re/Max In The City,Co-op for sale,309900,2,1.0,900.0,679 W 239th St Apt 5J,"Bronx, NY 10463","679 W 239th St Apt 5JBronx, NY 10463",New York,Bronx County,The Bronx,Riverdale,679,"679 W 239th St #5j, Bronx, NY 10463, USA",40.8901764,-73.9146261
Brokered by Keller Williams Realty Group,Co-op for sale,325000,3,1.0,622.0,525 W 134th St Apt 2E,"New York, NY 10031","525 W 134th St Apt 2ENew York, NY 10031",New York,New York County,New York,Manhattan,525,"525 W 134th St #2e, New York, NY 10031, USA",40.8192151,-73.9544658
Brokered by Myc & Associates Inc,Co-op for sale,1900000,3,2.0,2200.0,160 Chambers St Apt 4,"New York, NY 10007","160 Chambers St Apt 4New York, NY 10007",New York,New York County,New York,Manhattan,160,"160 Chambers St Apt 4, New York, NY 10007, USA",40.7159669,-74.010573
Brokered by Corcoran SoHo,Pending,990000,2,2.0,960.0,253 Tompkins Ave Apt 4B,"Brooklyn, NY 11216","253 Tompkins Ave Apt 4BBrooklyn, NY 11216",New York,Kings County,Brooklyn,Bedford-Stuyvesant,253,"253 Tompkins Ave #4b, Brooklyn, NY 11216, USA",40.6900217,-73.945006
Brokered by RE MAX Edge,Pending,679000,3,2.0,1474.0,3719 Mermaid Ave Unit 2B,"Brooklyn, NY 11224","3719 Mermaid Ave Unit 2BBrooklyn, NY 11224",New York,Kings County,Brooklyn,Seagate,3719,"3719 Mermaid Ave #2b, Brooklyn, NY 11224, USA",40.574905,-74.0036857
Brokered by Douglas Elliman - Bayside,Co-op for sale,259000,1,1.0,2184.207862,72-81 113 St Unit 6K,"Forest Hills, NY 11375","72-81 113 St Unit 6KForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,72-81,"72-81 113th St #6c, Forest Hills, NY 11375, USA",40.7199582,-73.8357232
Brokered by Stone Hill Real Estate,House for sale,850000,6,3.0,2280.0,62 15th St Unit 15TH,"Brooklyn, NY 11215","62 15th St Unit 15THBrooklyn, NY 11215",New York,Kings County,Brooklyn,Gowanus,62,"62 15th St #15th, Brooklyn, NY 11215, USA",40.6681319,-73.9948468
Brokered by Remax Edge - RE/MAX EDGE,Co-op for sale,825000,2,1.0,800.0,14 Prospect Park SW Apt 39,"Brooklyn, NY 11215","14 Prospect Park SW Apt 39Brooklyn, NY 11215",New York,Kings County,Brooklyn,Windsor Terrace,14,"14 Prospect Park Southwest Apartment 39, Brooklyn, NY 11215, USA",40.660279,-73.978949
Brokered by Douglas Elliman - Long Beach,Co-op for sale,1075000,4,2.0,1800.0,37-30 83rd St Unit 4EF,"Jackson Heights, NY 11372","37-30 83rd St Unit 4EFJackson Heights, NY 11372",New York,Queens County,Queens,Flushing,37-30,"37-30 83rd St #4e, Flushing, NY 11372, USA",40.7487647,-73.8834851
Brokered by Douglas Elliman - 3544 Johnson Ave,House for sale,1950000,5,4.0,4000.0,5501 Palisade Ave Lot 2,"Bronx, NY 10471","5501 Palisade Ave Lot 2Bronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,5501,"5501 Palisade Ave #2, Bronx, NY 10471, USA",40.9057349,-73.9111699
Brokered by Tscherne Realty Inc,Condo for sale,578000,2,2.0,900.0,57-15 69th Ln Unit 1,"Maspeth, NY 11378","57-15 69th Ln Unit 1Maspeth, NY 11378",New York,Queens County,Queens,Flushing,5715,"5715 69th Ln APT 1, Flushing, NY 11378, USA",40.7265287,-73.8933039
Brokered by COMPASS,Condo for sale,8995000,5,4.0,4373.0,135 W 52nd St Ph 5,"Manhattan, NY 10019","135 W 52nd St Ph 5Manhattan, NY 10019",New York,New York County,New York,Manhattan,135,"135 W 52nd St PH 5, New York, NY 10019, USA",40.7620381,-73.9808958
Brokered by eXp Realty BKNY,Condo for sale,629000,3,2.0,1360.0,269 Bay 8th St Apt 2R,"Brooklyn, NY 11228","269 Bay 8th St Apt 2RBrooklyn, NY 11228",New York,Kings County,Brooklyn,Bath Beach,269,"269 Bay 8th St #2r, Brooklyn, NY 11228, USA",40.6063017,-74.0157592
Brokered by Reony.Com Ltd,Condo for sale,329900,2,2.0,993.0,149-30 88 St Unit 4D,"Howard Beach, NY 11414","149-30 88 St Unit 4DHoward Beach, NY 11414",New York,Queens County,Queens,Howard Beach,149-30,"149-30 88th St #4d, Howard Beach, NY 11414, USA",40.6689793,-73.8476549
Brokered by BRAI - Braithwaite Realty LLC,Condo for sale,2150000,3,1.0,750.0,163 E 71st St Unit 1,"New York, NY 10021","163 E 71st St Unit 1New York, NY 10021",New York,New York County,New York,Manhattan,163,"163 E 71st St #1, New York, NY 10021, USA",40.7696597,-73.962084
Brokered by Keller Williams City Views,Co-op for sale,109000,1,1.0,2184.207862,335 E 209th St Apt 4,"Bronx, NY 10467","335 E 209th St Apt 4Bronx, NY 10467",New York,Bronx County,The Bronx,Norwood,335,"335 E 209th St Apt 4, Bronx, NY 10467, USA",40.8768714,-73.8742644
Brokered by BHHS New York Properties,Co-op for sale,307000,2,1.0,960.0,629 Kappock St Apt 2P,"Bronx, NY 10463","629 Kappock St Apt 2PBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,629,"629 Kappock St #2p, Bronx, NY 10463, USA",40.8802558,-73.9168342
Brokered by Corcoran Park Avenue South,Condo for sale,595000,1,1.0,750.0,189 Avenue C Apt 9D,"New York, NY 10009","189 Avenue C Apt 9DNew York, NY 10009",New York,New York County,New York,Manhattan,189,"189 Loisaida Ave #9d, New York, NY 10009, USA",40.726984,-73.9769367
Brokered by RE MAX Elite,Co-op for sale,675000,2,2.0,1200.0,9437 Shore Rd Unit 1A,"Brooklyn, NY 11209","9437 Shore Rd Unit 1ABrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,9437,"9437 Shore Rd #1a, Brooklyn, NY 11209, USA",40.6168668,-74.0380928
Brokered by Corcoran Park Avenue South,House for sale,395000,3,1.0,430.0,56 Pine St Apt 10E,"New York, NY 10005","56 Pine St Apt 10ENew York, NY 10005",New York,New York County,New York,Manhattan,56,"56 Pine St #10e, New York, NY 10005, USA",40.7068323,-74.0083798
Brokered by Keller Williams Legendary,Co-op for sale,368000,2,2.0,2184.207862,18-05 215th St Unit 12H,"Bayside, NY 11360","18-05 215th St Unit 12HBayside, NY 11360",New York,Queens County,Queens,Bayside,18-05,"18-05 215th St #12h, Bayside, NY 11360, USA",40.784673,-73.775263
Brokered by Re/Max In The City,Condo for sale,374900,1,1.0,782.0,2287 Johnson Ave Apt 12B,"Bronx, NY 10463","2287 Johnson Ave Apt 12BBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,2287,"2287 Johnson Ave #12b, Bronx, NY 10463, USA",40.8778771,-73.9188767
Brokered by Best Service Realty Corp.,Co-op for sale,365000,2,1.0,2184.207862,37-30 83rd St Unit 2H,"Jackson Heights, NY 11372","37-30 83rd St Unit 2HJackson Heights, NY 11372",New York,Queens County,Queens,Jackson Heights,3730,"3730 83rd St Apt 2h, Jackson Heights, NY 11372, USA",40.7493341,-73.8834178
Brokered by Ditommaso Real Estate,Co-op for sale,225000,2,1.0,789.0,1100 Clove Rd Apt 2D,"Brooklyn, NY 10301","1100 Clove Rd Apt 2DBrooklyn, NY 10301",New York,Richmond County,Staten Island,Castleton Corners,1100,"1100 Clove Rd #2d, Staten Island, NY 10301, USA",40.6189484,-74.1071576
Brokered by TREBACH REALTY INC,Co-op for sale,480000,3,2.0,2184.207862,3901 Independence Ave Apt 2T,"Bronx, NY 10463","3901 Independence Ave Apt 2TBronx, NY 10463",New York,Bronx County,The Bronx,Riverdale,3901,"3901 Independence Ave Apt 2n, Bronx, NY 10463, USA",40.8890266,-73.9131785
Brokered by New York Residential R E,Co-op for sale,385000,2,1.0,800.0,160-34 Cross Island Pkwy Unit 6-202,"Whitestone, NY 11357","160-34 Cross Island Pkwy Unit 6-202Whitestone, NY 11357",New York,Queens County,Queens,Whitestone,16034,"16034 Cross Island Pkwy 6 202, Whitestone, NY 11357, USA",40.7865407,-73.8018825
Brokered by Exp Realty,Co-op for sale,325000,2,1.0,750.0,129 E 102nd St Apt 5B,"New York, NY 10029","129 E 102nd St Apt 5BNew York, NY 10029",New York,New York County,New York,Manhattan,129,"129 E 102nd St #5b, New York, NY 10029, USA",40.78987,-73.9483335
Brokered by Harbor Properties International LLC,Condo for sale,3895000,3,3.0,1884.0,70 Little West St Apt 26B,"New York, NY 10004","70 Little West St Apt 26BNew York, NY 10004",New York,New York County,New York,Manhattan,70,"70 Little W St #26b, New York, NY 10004, USA",40.7069489,-74.0169068
Brokered by J. Sikar Realty,Condo for sale,615000,3,2.0,1165.0,501 Surf Ave Apt 18F,"Brooklyn, NY 11224","501 Surf Ave Apt 18FBrooklyn, NY 11224",Kings County,Brooklyn,Coney Island,Surf Avenue,Brightwater Towers East,"Brightwater Towers East, 501 Surf Ave #18f, Brooklyn, NY 11224, USA",40.5755355,-73.9735905
"Brokered by Robert E. Hill, Inc.",Co-op for sale,249000,1,1.0,850.0,601 Kappock St Apt 3N,"Bronx, NY 10463","601 Kappock St Apt 3NBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,601,"601 Kappock St #3n, Bronx, NY 10463, USA",40.8789773,-73.916004
Brokered by Keller Williams Realty Liberty,Co-op for sale,228500,1,1.0,750.0,123-35 82nd Rd Unit 7U,"Kew Gardens, NY 11415","123-35 82nd Rd Unit 7UKew Gardens, NY 11415",New York,Queens County,Queens,Kew Gardens,12335,"12335 82nd Rd Apt 7h, Kew Gardens, NY 11415, USA",40.7115099,-73.82872
Brokered by Keller Williams Rlty Landmark,Co-op for sale,305000,2,1.0,2184.207862,164-11 Willets Point Blvd Unit 2,"Whitestone, NY 11357","164-11 Willets Point Blvd Unit 2Whitestone, NY 11357",New York,Queens County,Queens,Whitestone,164- 11,"164- 11 Willets Point Blvd #2, Whitestone, NY 11357, USA",40.783465,-73.7990603
Brokered by Elegran Real Estate And Development,Co-op for sale,639000,1,1.0,2184.207862,45 E End Ave Apt 5E,"New York, NY 10028","45 E End Ave Apt 5ENew York, NY 10028",New York,New York County,New York,Manhattan,45,"45 East End Ave #5e, New York, NY 10028, USA",40.77172,-73.9467052
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,549000,1,1.0,2184.207862,535 E 72nd St Apt 4A,"New York, NY 10021","535 E 72nd St Apt 4ANew York, NY 10021",New York,New York County,New York,Manhattan,535,"535 E 72nd St #4a, New York, NY 10021, USA",40.7662222,-73.9516342
Brokered by EXP Realty,Co-op for sale,335000,2,1.0,745.0,35-35 82nd St Unit 24,"Jackson Heights, NY 11372","35-35 82nd St Unit 24Jackson Heights, NY 11372",New York,Queens County,Queens,Jackson Heights,3535,"3535 82nd St Apt 24, Jackson Heights, NY 11372, USA",40.7517899,-73.88467
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op for sale,549000,1,1.0,2184.207862,535 E 72nd St Apt 4A,"New York, NY 10021","535 E 72nd St Apt 4ANew York, NY 10021",New York,New York County,New York,Manhattan,535,"535 E 72nd St #4a, New York, NY 10021, USA",40.7662222,-73.9516342
Brokered by EXP Realty,Co-op for sale,335000,2,1.0,745.0,35-35 82nd St Unit 24,"Jackson Heights, NY 11372","35-35 82nd St Unit 24Jackson Heights, NY 11372",New York,Queens County,Queens,Jackson Heights,3535,"3535 82nd St Apt 24, Jackson Heights, NY 11372, USA",40.7517899,-73.88467
Brokered by COMPASS,Condo for sale,720000,3,2.0,1046.0,782 Madison St Apt 1A,"Brooklyn, NY 11221","782 Madison St Apt 1ABrooklyn, NY 11221",New York,Kings County,Brooklyn,Bedford-Stuyvesant,782,"782 Madison St #1a, Brooklyn, NY 11221, USA",40.6873745,-73.9264057
Brokered by Red Door Realty Group,Contingent,249999,1,1.0,750.0,3747 Amboy Rd Apt 2A,"Staten Island, NY 10308","3747 Amboy Rd Apt 2AStaten Island, NY 10308",New York,Richmond County,Staten Island,Great Kills,3747,"3747 Amboy Rd #2a, Staten Island, NY 10308, USA",40.5523555,-74.1450647
Brokered by COMPASS,Co-op for sale,580000,1,1.0,2184.207862,305 W 55th St Apt 2A,"Manhattan, NY 10019","305 W 55th St Apt 2AManhattan, NY 10019",New York,New York County,New York,Manhattan,305,"305 W 55th St #2a, New York, NY 10019, USA",40.7657861,-73.9842196
Brokered by Corcoran East Side,Co-op for sale,887785,2,2.0,2184.207862,575 Main St Apt 1602,"New York, NY 10044","575 Main St Apt 1602New York, NY 10044",New York,Queens County,Queens,Flushing,57-5,"57-5 Main St #1602, Flushing, NY 11355, USA",40.7462427,-73.8259167
Brokered by RE MAX Real Estate Professionals,Condo for sale,499999,3,1.0,701.0,2362 E 13th St Apt 2B,"Brooklyn, NY 11229","2362 E 13th St Apt 2BBrooklyn, NY 11229",New York,Kings County,Brooklyn,Homecrest,2362,"2362 E 13th St #2b, Brooklyn, NY 11229, USA",40.5925315,-73.9574046
Brokered by Ardebili Michael,Pending,599000,4,2.0,1348.0,1527 Gillespie Ave Unit 1A,"Bronx, NY 10461","1527 Gillespie Ave Unit 1ABronx, NY 10461",New York,Bronx County,The Bronx,Pelham Bay,1527,"1527 Gillespie Ave #1a, Bronx, NY 10461, USA",40.84296,-73.8312695
Brokered by Prince & Associates Realty Grp,Condo for sale,699900,1,1.0,2184.207862,11-25 47th Ave Unit 1,"Long Island City, NY 11101","11-25 47th Ave Unit 1Long Island City, NY 11101",New York,Queens County,Queens,Long Island City,1125,"1125 47th Ave APT 1, Long Island City, NY 11101, USA",40.745068,-73.949763
Brokered by Brown Harris Stevens,Co-op for sale,999000,2,2.0,2184.207862,531 Main St Apt 520,"Manhattan, NY 10044","531 Main St Apt 520Manhattan, NY 10044",New York,New York County,New York,Manhattan,531,"531 Main St #520, New York, NY 10044, USA",40.7617289,-73.9502411
Brokered by Keller Williams Realty Greater Nassau,Co-op for sale,188000,3,1.0,2184.207862,6011 Broadway Apt L5,"Woodside, NY 11377","6011 Broadway Apt L5Woodside, NY 11377",New York,Queens County,Queens,Woodside,6011,"6011 Broadway Apt L5, Woodside, NY 11377, USA",40.7511899,-73.90201
Brokered by COMPASS,Co-op for sale,545000,1,1.0,2184.207862,28 W 87th St Apt 4A,"Manhattan, NY 10024","28 W 87th St Apt 4AManhattan, NY 10024",New York,New York County,New York,Manhattan,28,"28 W 87th St #4a, New York, NY 10024, USA",40.7863158,-73.9702042
Brokered by Asimina Perikleous,Condo for sale,705000,2,2.0,2184.207862,66-41 69th St Unit 1E,"Middle Village, NY 11379","66-41 69th St Unit 1EMiddle Village, NY 11379",New York,Queens County,Queens,Flushing,6641,"6641 69th St # P-1, Flushing, NY 11379, USA",40.7135957,-73.8863491
Brokered by Sold By Bart R E Partners Inc,Co-op for sale,389000,2,1.0,2184.207862,62-19 53rd Ave Unit 3P,"Maspeth, NY 11378","62-19 53rd Ave Unit 3PMaspeth, NY 11378",New York,Queens County,Queens,Maspeth,6219,"6219 53rd Ave Apt 3p, Maspeth, NY 11378, USA",40.7317199,-73.90176
Brokered by Homedax Real Estate Llc,Co-op for sale,350000,2,1.0,2184.207862,414 61st St Apt 4A,"Brooklyn, NY 11220","414 61st St Apt 4ABrooklyn, NY 11220",New York,Kings County,Brooklyn,Sunset Park,414,"414 61st St #4a, Brooklyn, NY 11220, USA",40.6397364,-74.0186847
Brokered by Homedax Real Estate Llc,Co-op for sale,350000,2,1.0,2184.207862,414 61st St Apt 4A,"Brooklyn, NY 11220","414 61st St Apt 4ABrooklyn, NY 11220",New York,Kings County,Brooklyn,Sunset Park,414,"414 61st St #4a, Brooklyn, NY 11220, USA",40.6397364,-74.0186847
Brokered by Corcoran SoHo,Condo for sale,295000,3,1.0,2184.207862,48 W 138th St Apt 6F,"New York, NY 10037","48 W 138th St Apt 6FNew York, NY 10037",New York,New York County,New York,Manhattan,48,"48 W 138th St #6f, New York, NY 10037, USA",40.8153693,-73.9384161
Brokered by Ubiq,Co-op for sale,310000,2,1.0,2184.207862,655 Riverside Dr Apt 5A,"New York, NY 10031","655 Riverside Dr Apt 5ANew York, NY 10031",New York,New York County,New York,Manhattan,655,"655 Riverside Dr #5a, New York, NY 10031, USA",40.8255972,-73.9529963
Brokered by Brown Harris Stevens,Co-op for sale,479000,1,1.0,2184.207862,335 W 85th St Apt 4A,"Manhattan, NY 10024","335 W 85th St Apt 4AManhattan, NY 10024",New York,New York County,New York,Manhattan,335,"335 W 85th St #4a, New York, NY 10024, USA",40.788879,-73.9794905
Brokered by COMPASS,Townhouse for sale,4250000,3,4.0,3376.0,189 Prospect Pl Apt 1,"Brooklyn, NY 11238","189 Prospect Pl Apt 1Brooklyn, NY 11238",New York,Kings County,Brooklyn,Prospect Heights,189,"189 Prospect Pl #1, Brooklyn, NY 11238, USA",40.6781953,-73.9702616
Brokered by Joyce Realty,Co-op for sale,659000,3,2.0,1300.0,3 Edgewater Park Unit 3A,"Bronx, NY 10465","3 Edgewater Park Unit 3ABronx, NY 10465",New York,Bronx County,The Bronx,East Bronx,3,"3 Edgewater Park #3a, Bronx, NY 10465, USA",40.8224429,-73.8109606
Brokered by Century Homes Realty Group LLC,Condo for sale,929000,3,2.0,2184.207862,24010A Oak Park Dr Unit 23A,"Douglaston, NY 11362","24010A Oak Park Dr Unit 23ADouglaston, NY 11362",New York,Queens County,Queens,Douglaston,24010A,"24010A Oak Park Dr # 23a, Douglaston, NY 11362, USA",40.7459681,-73.7331069
Brokered by Magic Of Great Neck Realty Inc,Co-op for sale,629000,2,2.0,1600.0,27110 Grand Central Pkwy Apt 22N,"Floral Park, NY 11005","27110 Grand Central Pkwy Apt 22NFloral Park, NY 11005",New York,Queens County,Queens,Queens Village,27110,"27110 Grand Central Pkwy #22n, Queens Village, NY 11005, USA",40.7564761,-73.7212008
Brokered by NextHome Empire,Co-op for sale,315000,2,1.0,2184.207862,21-48 35th St Unit 5G,"Astoria, NY 11105","21-48 35th St Unit 5GAstoria, NY 11105",New York,Queens County,Queens,Astoria,21-48,"21-48 35th St #5b, Queens, NY 11105, USA",40.7758184,-73.907993
Brokered by E Realty International Corp,Condo for sale,698000,2,2.0,824.0,142-18 38th Ave Unit 7D,"Flushing, NY 11354","142-18 38th Ave Unit 7DFlushing, NY 11354",New York,Queens County,Queens,Flushing,142-18,"142-18 38th Ave #7d, Queens, NY 11354, USA",40.7616652,-73.826414
Brokered by Keller Williams NYC,Condo for sale,495000,2,1.0,766.0,69 Bennett Ave Apt 509,"New York, NY 10033","69 Bennett Ave Apt 509New York, NY 10033",New York,New York County,New York,Manhattan,69,"69 Bennett Ave Apt 509, New York, NY 10033, USA",40.8525968,-73.9352912
Brokered by Brown Harris Stevens- 3531 Johnson Avenue,Co-op for sale,605000,3,2.0,1500.0,2575 Palisade Ave Apt 1L,"Bronx, NY 10463","2575 Palisade Ave Apt 1LBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,2575,"2575 Palisade Ave #1l, Bronx, NY 10463, USA",40.8818819,-73.921791
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,2099000,3,2.0,1711.0,100 Jay St Apt 16A,"Brooklyn, NY 11201","100 Jay St Apt 16ABrooklyn, NY 11201",New York,Kings County,Brooklyn,Dumbo,100,"100 Jay St #16a, Brooklyn, NY 11201, USA",40.7019735,-73.9869044
Brokered by RE MAX City Square,Co-op for sale,575000,3,2.0,1480.0,3903 Nostrand Ave Apt 5P,"Brooklyn, NY 11235","3903 Nostrand Ave Apt 5PBrooklyn, NY 11235",New York,Kings County,Brooklyn,Sheepshead Bay,3903,"3903 Nostrand Ave. #5p, Brooklyn, NY 11235, USA",40.5886056,-73.9394034
Brokered by The Agency,Co-op for sale,525000,3,1.0,2184.207862,180 W End Ave Apt 19P,"New York, NY 10023","180 W End Ave Apt 19PNew York, NY 10023",New York,New York County,New York,Manhattan,180,"180 West End Ave #19b, New York, NY 10023, USA",40.7774246,-73.98562
Brokered by KUS Realty Premier Inc,Condo for sale,345000,1,1.0,2184.207862,172-31 Highland Ave Unit 2A,"Jamaica, NY 11432","172-31 Highland Ave Unit 2AJamaica, NY 11432",New York,Queens County,Queens,Jamaica,172-31,"172-31 Highland Ave #2a, Jamaica, NY 11432, USA",40.7135571,-73.7901901
Brokered by Madison Estates Sotheby's International Realty,Co-op for sale,379000,2,2.0,1160.0,3215 Avenue H Apt 3P,"Brooklyn, NY 11210","3215 Avenue H Apt 3PBrooklyn, NY 11210",New York,Kings County,Brooklyn,Little Haiti,3215,"3215 Avenue H #3p, Brooklyn, NY 11210, USA",40.6320616,-73.9452586
Brokered by Douglas Elliman - 575 Madison Ave,Pending,1495000,1,1.0,814.0,9 Dekalb Ave Unit 55D,"Brooklyn, NY 11201","9 Dekalb Ave Unit 55DBrooklyn, NY 11201",New York,Kings County,Brooklyn,Downtown Brooklyn,9,"9 Dekalb Ave #55, Brooklyn, NY 11201, USA",40.6903851,-73.9825343
